stitch_id,drug_name,smiles
CID100000085,carnitine,C[N+](C)(C)CC(CC(=O)[O-])O
CID100000119,gamma-aminobutyric,
CID100000137,5-aminolevulinic,
CID100000143,leucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CID100000146,5-methyltetrahydrofolate,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CID100000158,PGE2,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
CID100000159,prostacyclin,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O
CID100000160,prostaglandin,
CID100000175,acetate,CC(=O)[O-]
CID100000187,acetylcholine,CC(=O)OCC[N+](C)(C)C
CID100000191,adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
CID100000206,glucose,C(C1C(C(C(C(O1)O)O)O)O)O
CID100000214,PGE1,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
CID100000222,ammonia,N
CID100000232,arginine,C(CC(C(=O)O)N)CN=C(N)N
CID100000244,benzyl,[CH2]C1=CC=CC=C1
CID100000247,betaine,C[N+](C)(C)CC(=O)[O-]
CID100000271,calcium,[Ca]
CID100000297,graphene,C
CID100000298,chloramphenicol,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
CID100000303,bile,COC1=CC=CC(=C1OC)C2=NN=C(S2)N
CID100000305,choline,C[N+](C)(C)CCO
CID100000311,citric,CC(CCC=C(C)C)CC=O
CID100000312,chloride,[Cl-]
CID100000338,salicylate,C1=CC=C(C(=C1)C(=O)O)[O-]
CID100000401,D-cycloserine,C1C(C(=O)NO1)N
CID100000444,bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CID100000450,estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
CID100000453,mannitol,C(C(C(C(C(CO)O)O)O)O)O
CID100000564,EACA,C(CCC(=O)O)CCN
CID100000581,N-acetylcysteine,CC(=O)NC(CS)C(=O)O
CID100000596,cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
CID100000598,mesna,C(CS(=O)(=O)[O-])S.[Na+]
CID100000612,lactate,CC(C(=O)[O-])O
CID100000679,DMSO,CS(=O)C
CID100000681,dopamine,C1=CC(=C(C=C1CCN)O)O
CID100000698,estrone,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
CID100000699,Oestrogen,
CID100000700,monoethanolamine,C(CO)N
CID100000727,lindane,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
CID100000738,glutamine,C(CC(=O)N)C(C(=O)O)N
CID100000750,glycine,C(C(=O)O)N
CID100000753,glycerol,C(C(CO)O)O
CID100000767,bicarbonate,C(=O)(O)[O-]
CID100000772,LMWH,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
CID100000774,histamine,C1=C(NC=N1)CCN
CID100000785,quinol,C1=CC(=CC=C1O)O
CID100000813,potassium,[K]
CID100000815,kanamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N
CID100000838,epinephrine,CNCC(C1=CC(=C(C=C1)O)O)O
CID100000853,thyroxine,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
CID100000861,triiodothyronine,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
CID100000888,magnesium,[Mg]
CID100000896,melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
CID100000923,sodium,[Na]
CID100000937,niacin,C1=CC(=CN=C1)C(=O)O
CID100000942,nicotine,CN1CCCC1C2=CN=CC=C2
CID100000946,nitrite,N(=O)[O-]
CID100000948,nitrous,
CID100000951,norepinephrine,C1=CC(=C(C=C1C(CN)O)O)O
CID100000961,hydroxyl,[OH]
CID100001003,phosphate,[O-]P(=O)([O-])[O-]
CID100001046,pyrazinamide,C1=CN=C(C=N1)C(=O)N
CID100001054,pyridoxine,CC1=NC=C(C(=C1O)CO)CO
CID100001065,quinidine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
CID100001071,retinol,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
CID100001084,thiosulfate,OS(=O)(=S)[O-]
CID100001125,tetrahydrobiopterin,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O
CID100001130,thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
CID100001134,thymidine,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
CID100001206,methamphetamine,CC(CC1=CC=CC=C1)NC
CID100001301,naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
CID100001546,cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
CID100001690,doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
CID100001727,4-AP,C1=CN=CC=C1N
CID100001775,phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
CID100001798,methazolamide,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
CID100001805,5-azacytidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
